"Date","mar_Open","mar_High","mar_Low","mar_Close","mar_Volume","mar_TWAP","mar_VWAP","mar_PreviousCloseDate","hlt_Open","hlt_High","hlt_Low","hlt_Close","hlt_Volume","hlt_TWAP","hlt_VWAP","hlt_PreviousCloseDate"
"2022-04-14",154.46,157.33,153.9,155.58,2351189,156.193286,156.097372,"2022-04-13",176.2,181.52,176.2,180.51,3631673,179.825305,179.751564,"2022-04-13"
"2022-04-13",146.41,154.28,145.67,153.93,2502524,152.220619,152.227673,"2022-04-12",164.16,176.25,164.01,175.54,3343813,173.458879,173.566893,"2022-04-12"
"2022-04-12",145,146.95,143.855,144.88,1698245,145.151792,145.136644,"2022-04-11",164.63,165.96,162.28,163.24,1549813,164.137751,164.13437,"2022-04-11"
"2022-04-11",144.3,147.19,143.63,143.7,1165117,144.76285,144.639514,"2022-04-08",161.96,165.56,161.66,162.45,1402520,163.266856,163.091197,"2022-04-08"
"2022-04-08",144.71,147.05,143.835,145.48,1646722,145.905663,145.688317,"2022-04-07",163.61,165.31,162.4,163.86,1522384,164.147805,164.046751,"2022-04-07"
"2022-04-07",145.3,146.44,142.145,145.55,3278757,144.087859,144.088906,"2022-04-06",165.58,166.62,162.36,164.66,2608678,164.12517,164.179616,"2022-04-06"
"2022-04-06",150.005,150.005,144.81,145.61,2031664,146.188522,146.150407,"2022-04-05",171.76,171.76,165.62,166.17,2180145,167.66734,167.586096,"2022-04-05"
"2022-04-05",152.66,153.645,150.21,151.55,1595726,151.49258,151.519245,"2022-04-04",174.41,176.61,172,174,1545257,173.865275,173.903366,"2022-04-04"
"2022-04-04",150,152.91,148.9751,152.34,1775228,151.623128,151.50458,"2022-04-01",173.37,175.04,171.62,174.65,1394902,173.771394,174.116611,"2022-04-01"
"2022-04-01",153.11,153.84,149.85,150.71,1465082,151.225681,151.185636,"2022-03-31",176.92,178.38,172.61,173.68,1900406,174.265889,174.708483,"2022-03-31"
"2022-03-31",152.74,155.1,151.53,151.74,1814823,153.531312,153.168119,"2022-03-30",177.19,179.3,175.72,175.75,2368859,177.574723,177.093671,"2022-03-30"
"2022-03-30",153.82,155.77,152.52,153.15,1709580,153.709757,153.560061,"2022-03-29",177.54,179.12,175.4,176.45,2285208,176.761435,176.649814,"2022-03-29"
"2022-03-29",153.6,156.07,153.08,155.31,2518382,154.49583,154.351707,"2022-03-28",174.24,178.97,174.1,178.32,2201137,177.535074,177.603163,"2022-03-28"
"2022-03-28",152,152.115,149.01,150.68,1250819,150.17749,150.241704,"2022-03-25",172.1,172.57,169.14,171.56,1215627,170.975238,171.113869,"2022-03-25"
"2022-03-25",152.21,153.84,150.96,151.5,1074638,152.075534,152.04423,"2022-03-24",172,173.69,170.75,171.52,1428091,171.85153,171.892006,"2022-03-24"
"2022-03-24",148.41,152.05,147.76,151.89,1179984,150.316493,150.622868,"2022-03-23",169,171.99,167.198,171.98,1795794,170.575376,170.813641,"2022-03-23"
"2022-03-23",149.57,150.848,148.37,148.41,1267510,149.376483,149.239177,"2022-03-22",169.41,170.98,167.2,167.65,2709050,168.56821,168.476972,"2022-03-22"
"2022-03-22",151.71,153.49,149.71,151.42,2190591,151.257358,151.170902,"2022-03-21",171.67,172.88,169.98,170.57,2004139,171.301698,171.168382,"2022-03-21"
"2022-03-21",150.56,151.1,148.02,150.35,1855904,149.514551,149.590887,"2022-03-18",169.95,170.2245,167.85,169.95,1770436,169.10008,169.264572,"2022-03-18"
"2022-03-18",150.21,153.249,149.22,151.79,3060161,152.220329,151.835813,"2022-03-17",170.26,173.44,167.65,171.19,3542392,171.464862,171.244196,"2022-03-17"
"2022-03-17",147.64,151.23,147.64,151.14,1668221,150.046295,150.154997,"2022-03-16",170.33,171.25,168.13,171.24,1582325,170.113275,170.253064,"2022-03-16"
"2022-03-16",146.22,151.09,145.705,150.79,4292576,148.728403,148.835689,"2022-03-15",168.19,172.5,167.03,172.29,2300310,170.181487,170.565334,"2022-03-15"
"2022-03-15",143.49,145.72,142.42,144.24,1581613,144.212772,144.212125,"2022-03-14",163.93,167.33,163.65,166.4,2297297,165.717034,165.786965,"2022-03-14"
"2022-03-14",143.19,143.905,140.2453,141.56,1586711,141.611584,141.588837,"2022-03-11",162.27,164.13,160.11,161.76,1917647,161.606354,161.696224,"2022-03-11"
"2022-03-11",144.58,145.8,141.53,141.77,1684843,142.835282,142.725655,"2022-03-10",164.35,165.53,161.3,161.64,2316271,163.157942,162.949396,"2022-03-10"
"2022-03-10",135.49,144.33,135.2,142.94,3309531,141.778083,141.795151,"2022-03-09",156.55,164.22,156.05,162.56,2573293,162.002541,161.946054,"2022-03-09"
"2022-03-09",138.5,140.67,137.455,138.52,3171056,139.100955,138.99592,"2022-03-08",158.2,162.555,157.74,159.47,3509843,160.31761,160.207183,"2022-03-08"
"2022-03-08",130.97,138.19,128.87,133.92,5031716,134.004213,133.810551,"2022-03-07",148.92,159.11,146.07,152.79,4939350,152.664754,152.633686,"2022-03-07"
"2022-03-07",137.84,138,128.77,129.09,4207912,130.900717,130.84394,"2022-03-04",159.22,159.22,147.93,148.06,3769069,151.178676,151.050253,"2022-03-04"
"2022-03-04",139.93,141.1,133.26,137.67,4510915,136.385235,136.396055,"2022-03-03",163,163.93,156.76,159.28,2858565,158.610954,158.676058,"2022-03-03"
"2022-03-03",148.13,148.84,141,142.01,2685777,142.612712,142.481614,"2022-03-02",169.74,171.53,164.45,165.47,2444926,165.812102,165.8183,"2022-03-02"
"2022-03-02",143.8,147,143.8,145.91,2066732,145.897417,145.890349,"2022-03-01",167.58,171.01,166.91,168.23,2159787,169.052478,168.9269,"2022-03-01"
"2022-03-01",147.37,148.22,141.05,142.17,3158383,143.232878,143.19047,"2022-02-28",168.7,170.01,163.88,164.91,2886118,165.434196,165.490541,"2022-02-28"
"2022-02-28",147.22,150.15,144.88,148.86,3213134,148.010669,148.209132,"2022-02-25",170.39,172.49,167.53,170.14,2574380,169.969139,170.005457,"2022-02-25"
"2022-02-25",147,150.68,145.01,150.67,1949159,148.628367,148.872168,"2022-02-24",170.53,174.6012,168.43,174.37,2805882,172.491322,172.604099,"2022-02-24"
"2022-02-24",138.97,146.66,138.03,146.09,3350028,143.2998,143.552574,"2022-02-23",163.06,169.55,162.95,168.75,4332662,166.711909,166.797624,"2022-02-23"
"2022-02-23",148.33,148.48,143.07,143.37,3147669,144.885827,144.73503,"2022-02-22",174.14,174.55,167.369,167.97,3494821,170.143216,170.149823,"2022-02-22"
"2022-02-22",150,150.6,145.89,147.16,2991418,147.720524,147.796187,"2022-02-18",174.62,175.82,169.81,173.12,2744041,173.000457,173.177049,"2022-02-18"
"2022-02-18",153.16,154.49,149.925,150.41,2318027,151.00357,150.96966,"2022-02-17",177.58,179.54,174.72,174.92,2882441,175.901712,175.79055,"2022-02-17"
"2022-02-17",154.13,155.68,150.03,153.04,3131071,153.281346,153.182949,"2022-02-16",180.1701,181.78,177.71,178.17,3356259,179.20154,179.080315,"2022-02-16"
"2022-02-16",157.9,160.96,155,156.34,4808622,157.066354,157.011038,"2022-02-15",178.3131,184.99,178,183.26,3263847,182.513374,182.295751,"2022-02-15"
"2022-02-15",153.99,159.09,153.99,158,4976708,157.620644,157.587167,"2022-02-14",175.9032,181.3445,174.54,181.2,4264781,179.387094,179.42827,"2022-02-14"
"2022-02-14",149.76,154.5,149.76,151.43,4412144,152.071951,152.193808,"2022-02-11",170.55,174.4,169.42,171.33,2675152,171.851609,171.783504,"2022-02-11"
"2022-02-11",154.69,155.7966,149.25,149.53,2798502,151.953792,151.666896,"2022-02-10",175.16,177.23,168.68,169.88,2819319,171.898888,171.632598,"2022-02-10"
"2022-02-10",151.96,156.485,150.8394,154.2,2551167,154.543121,154.500085,"2022-02-09",170.89,176.48,170.005,174.68,2122073,174.659646,174.523503,"2022-02-09"
"2022-02-09",154.85,157.49,152.89,153.14,2709338,154.273995,154.1656,"2022-02-08",172.56,176.52,172.03,173.53,2100280,173.742599,173.747462,"2022-02-08"
"2022-02-08",149.25,153.7,148.65,153.38,3102315,152.029639,152.145016,"2022-02-07",167.06,172.04,165.3,171.55,2553003,170.12976,170.208854,"2022-02-07"
"2022-02-07",146.48,149.47,145.76,148.64,2526208,148.283794,148.138047,"2022-02-04",163.1212,167.24,162.75,166.04,2003352,165.608622,165.526986,"2022-02-04"
"2022-02-04",143.42,147.14,142.47,145.5,3169479,145.088038,144.587292,"2022-02-03",161.01,163.71,158.92,162.74,2204708,161.411089,161.612587,"2022-02-03"
"2022-02-03",144.17,145.86,142.65,144.15,2838484,144.272879,144.22263,"2022-02-02",160,164.49,160,162.01,2920099,162.686707,162.744193,"2022-02-02"
"2022-02-02",145.99,145.99,142.74,144.59,2740267,144.244021,144.158229,"2022-02-01",163.34,163.64,160.11,160.87,3912465,161.247615,161.146341,"2022-02-01"
"2022-02-01",145.93,146.235,143.58,145.72,2772855,145.163555,145.16888,"2022-01-31",161.12,163.68,160.33,163.02,1755064,162.175287,162.268938,"2022-01-31"
"2022-01-31",142.19,145.44,141.395,145.11,1615265,143.833308,143.940058,"2022-01-28",158.54,161.285,157.24,161.12,1972161,160.077027,160.322634,"2022-01-28"
"2022-01-28",138.22,143.56,136.72,143.39,2367879,140.750547,141.046184,"2022-01-27",154,159.51,152.75,159.38,1930432,156.59654,156.870888,"2022-01-27"
"2022-01-27",145.76,147.02,136.89,137.25,3534231,139.658289,139.560162,"2022-01-26",159.63,160.86,152.13,153.71,2184969,155.50694,155.211388,"2022-01-26"
"2022-01-26",144.57,148.82,143.1,144.82,2824268,145.895838,145.497394,"2022-01-25",158.04,164,156.69,158.73,2345804,160.676201,160.433232,"2022-01-25"
"2022-01-25",138.14,143.5,134.53,142.39,3976157,139.790973,140.204518,"2022-01-24",153.95,158.25,150.35,157.03,2197205,154.333735,154.532713,"2022-01-24"
"2022-01-24",138.24,140.6,134.559,140.48,5057570,137.735745,138.223394,"2022-01-21",154,156.5,150.93,155.74,3537843,153.657307,153.872246,"2022-01-21"
"2022-01-21",142.25,145.18,141.13,142.26,3607382,143.304894,142.98734,"2022-01-20",156.7,160.2,154.5,156.99,4745703,157.939603,157.823282,"2022-01-20"
"2022-01-20",143.06,146.75,141.84,142.24,2576510,144.307015,144.132802,"2022-01-19",155.55,161.6854,155.37,156.7,2160377,158.978631,158.864082,"2022-01-19"
"2022-01-19",144.96,145.56,141.82,142.21,3131449,143.432016,143.285338,"2022-01-18",159.93,159.98,154.11,154.2,2396501,156.025721,155.89017,"2022-01-18"
